,image_time,DNflag,unet_prob,simple_numhot,unet_class,simple_radiance,hyst_numhot,hyst_radiance,background_bt,hotspot_mean_bt,hotspot_max_bt,bt_hotspot_minus_bg,hotspot_TIR_mean_bt,hotspot_TIR_max_bt,MIR_minus_TIR_bt,improved_radiance,hotspot_area_bg_corrected,solar_za,solar_aa,mirova_numhot,mirova_class,mirova_radiance,max_nti,max_eti,max_dnti,max_deti,max_dnti_z,max_deti_z
7834,2012-03-11 23:30:00,D,0.04758943,0.0,False,,0.0,,,,,,,,,,,56.65155698118314,33.34844301881686,0.0,False,0.0,-0.83520824,0.1025359,0.06531815,0.07538132,4.9741983,5.7313466
9663,2012-03-12 01:12:00,D,0.0008331574,0.0,False,,0.0,,,,,,,,,,,61.0688418080109,28.931158191989102,0.0,False,0.0,-0.84962976,0.024225295,0.032313667,0.019470565,3.547169,3.5745075
16739,2012-03-12 13:24:00,N,4.8933853e-05,0.0,False,,0.0,,,,,,,,,,,123.76590418088804,-33.76590418088804,0.0,False,0.0,-0.9748502,0.0023684502,0.0019244477,0.0018890873,2.5261555,2.6246586
8835,2012-03-12 15:06:00,N,0.10441277,0.0,False,,0.0,,,,,,,,,,,112.05661718860087,-22.05661718860087,0.0,False,0.0,-0.98000515,0.004791081,0.0051197335,0.0050491616,3.6624951,3.559929
5118,2012-03-12 23:12:00,D,0.002409074,0.0,False,,0.0,,,,,,,,,,,56.28091335077781,33.71908664922219,0.0,False,0.0,-0.8176288,0.059163272,0.04287944,0.03011372,3.7172258,3.8637562
7612,2012-03-13 00:54:00,D,0.017072046,0.0,False,,0.0,,,,,,,,,,,59.40558487718066,30.594415122819342,1.0,True,371096.553061046,-0.8133273,0.058486104,0.06320679,0.046910405,8.023449,7.062835
4869,2012-03-13 13:06:00,N,4.929358e-05,0.0,False,,0.0,,,,,,,,,,,124.91137130092878,-34.911371300928785,0.0,False,0.0,-0.9701187,0.0022895932,0.002381608,0.001965806,3.5013633,3.1683366
2721,2012-03-13 14:42:00,N,8.223491e-06,0.0,False,,0.0,,,,,,,,,,,114.79829268748442,-24.798292687484423,0.0,False,0.0,-0.9787276,0.0033913255,0.0035728887,0.0037087873,2.9066458,3.0291674
7113,2012-03-13 22:54:00,D,0.0004063618,0.0,False,,0.0,,,,,,,,,,,56.1555281530893,33.8444718469107,0.0,False,0.0,-0.84318763,0.030347526,0.024622135,0.01884538,3.5168257,3.4751499
7310,2012-03-14 00:36:00,D,0.0014135286,0.0,False,,0.0,,,,,,,,,,,57.93535933757874,32.06464066242126,0.0,False,0.0,-0.88843685,0.022585869,0.008608401,0.009688899,2.980343,3.113466
7511,2012-03-14 12:48:00,N,0.040842127,0.0,False,,0.0,,,,,,,,,,,125.84468250006518,-35.844682500065176,0.0,False,0.0,-0.97289765,0.0040591955,0.004204206,0.0025283918,3.612593,2.8173623
